"appid","query_date","grade","reviews","bundles"
"343800","2015-01-26",70,10,
"343810","2015-01-26",100,8,
"271640","2014-10-29",21,74,
"343820","2015-01-26",75,9,
"343830","2015-01-26",66,3,
"343840","2015-02-04",82,29,
"271670","2014-10-29",89,346,
"271710","2014-10-29",100,10,
"271730","2014-10-29",55,134,
"343930","2015-05-21",33,3,
"343940","2015-03-13",0,0,
"343950","2015-01-21",66,6,
"343951","2015-02-03",66,3,
"343952","2015-01-28",33,6,
"343953","2015-05-12",71,7,
"343955","2015-02-11",35,15,
"343956","2015-05-13",100,2,
"343959","2015-04-14",100,3,
"343970","2015-01-17",0,0,
"271800","2014-10-29",40,5,
"271801","2014-10-29",100,1,
"271802","2014-10-29",40,5,
"271820","2014-10-29",91,530,
"271850","2014-10-29",73,46,
"271860","2014-10-29",64,586,
"271880","2014-10-29",0,1,
"271900","2014-10-29",96,399,
"271942","2014-10-29",79,49,
"271943","2014-10-29",87,55,
"271944","2014-10-29",84,158,
"271950","2015-01-09",100,3,
"271960","2014-10-29",100,1,
"271961","2014-10-29",100,1,
"271962","2014-10-29",0,0,
"271963","2014-10-29",0,0,
"271964","2014-10-29",75,4,
"271990","2015-01-23",92,14,
,"2014-10-29",0,28026,
"259040","2014-10-29",82,106,
"259041","2014-10-29",70,127,
"259060","2014-10-29",90,539,
"259080","2014-10-29",94,8964,
"259110","2014-10-29",100,3,
"259120","2014-10-29",0,0,
"259121","2014-10-29",0,1,
"259122","2014-10-29",0,0,
"259130","2014-10-29",82,157,
"259150","2014-10-29",0,0,
"259170","2014-10-29",39,208,
"259190","2014-10-29",73,75,
"259210","2014-10-29",100,2,
"259211","2014-10-29",100,3,
"259220","2014-10-29",0,0,
"259230","2014-10-29",100,1,
"259240","2014-10-29",0,0,
"259250","2014-10-29",92,13,
"259251","2014-10-29",50,6,
"259252","2014-10-29",33,6,
"259253","2014-10-29",66,7,
"259320","2014-10-29",29,84,
"259340","2014-10-29",56,122,
"259380","2014-10-29",93,326,
"259381","2014-10-29",90,341,
"259390","2014-10-29",78,502,
"259410","2014-11-10",92,79,
"259430","2014-10-29",79,200,
"259450","2014-10-29",87,85,
"259470","2014-10-29",80,45,
"259490","2014-10-29",91,205,
