"appid","time0","grade","reviews"
"343800",1422230400,70,10
"343810",1422230400,100,8
"343820",1422230400,75,9
"343830",1422230400,66,3
"343840",1423008000,82,29
"343930",1432166400,33,3
"343950",1421798400,66,6
"343951",1422921600,66,3
"343952",1422403200,33,6
"343953",1431388800,71,7
"343955",1423612800,35,15
"343956",1431475200,100,2
"343959",1428969600,100,3
"271950",1420761600,100,3
"271990",1421971200,92,14
"259410",1415577600,92,79
"259570",1422576000,91,157
"344030",1422057600,16,6
"344040",1426636800,37,40
"344050",1423094400,100,2
"344060",1430265600,100,1
"344070",1430179200,66,3
"344140",1421884800,79,200
"344160",1427932800,52,19
"344220",1423699200,60,5
"344230",1423526400,68,16
"272083",1415145600,50,2
"344270",1423526400,100,4
"344290",1422489600,100,6
"344300",1423180800,92,13
"344340",1422835200,89,47
"344410",1421625600,100,3
"344450",1430956800,89,267
"344460",1423180800,80,60
"344461",1426550400,51,129
"344462",1428969600,56,64
"344480",1431129600,100,8
"344490",1421712000,100,1
"344500",1424304000,67,28
"344510",1421798400,91,24
"344630",1422489600,100,57
"272490",1416182400,33,109
"344730",1422921600,100,4
"344750",1422230400,73,38
"344760",1425254400,71,5086
"344790",1422576000,85,14
"344800",1426204800,76,13
"344810",1426204800,85,20
"344840",1425427200,60,90
"344860",1422489600,94,110
"344880",1425254400,76,26
"344910",1428019200,80,5
"344920",1423526400,36,11
"344960",1426550400,75,8
"345000",1422489600,100,1
"345010",1423526400,85,118
"345030",1423526400,50,4
"345050",1425081600,100,5
"345060",1425340800,83,24
"345090",1422921600,87,49
"345120",1426550400,91,23
"345130",1424995200,66,6
"345140",1427932800,81,16
"345180",1423094400,93,155
"345200",1423094400,90,133
"345220",1422921600,60,20
"345280",1422230400,57,59
"345290",1422403200,33,3
"345300",1422403200,100,1
"345310",1422403200,80,5
"345340",1430179200,85,7
"345370",1426723200,92,109
"345520",1425600000,76,1860
"345540",1424304000,75,8
"345570",1423180800,100,1
"345580",1423180800,36,152
"345640",1424044800,58,51
"345650",1421971200,90,1329
"345660",1423267200,70,365
"345670",1421971200,100,8
"345710",1423699200,72,37
"345740",1427932800,93,44
"345750",1423440000,42,38
"345790",1422230400,50,10
"345800",1422921600,87,8
"345820",1429660800,97,73
"345860",1421971200,88,45
"345870",1424217600,92,27
"345890",1432252800,68,38
"345900",1427587200,60,5
"273750",1418860800,88,60
"345930",1427932800,100,2
"273790",1429142400,0,1
"345980",1425945600,85,183
"273830",1415059200,31,22
"273840",1418860800,93,169
"273850",1416182400,25,20
"273860",1416873600,26,15
"346010",1422403200,98,9407
"346040",1427328000,62,40
"346060",1424736000,100,1
"346080",1422835200,61,21
"346120",1424390400,77,1320
"346130",1430265600,100,4
"346140",1424995200,72,11
"346160",1422921600,52,17
"346170",1424476800,100,15
"346180",1423699200,85,371
"346200",1423094400,58,12
"346210",1422835200,80,21
"346230",1424390400,0,1
"346240",1422230400,42,19
"346250",1422230400,90,1324
"346270",1425513600,58,129
"346290",1422835200,86,68
"346320",1422316800,42,21
"346340",1431129600,87,8
"346360",1424390400,93,16
"346370",1422921600,27,470
"346400",1422230400,26,15
"346420",1426032000,79,161
"346440",1423094400,76,21
"274270",1424304000,92,180
"346450",1422230400,68,48
"346470",1424908800,90,41
"346510",1423699200,100,10
"346542",1423785600,100,1
"346550",1425254400,90,11
"346560",1423612800,96,186
"346590",1426723200,81,11
"346630",1423008000,100,11
"346640",1422489600,100,4
"346650",1422316800,53,13
"346670",1425945600,37,16
"346690",1422921600,0,1
"346720",1423612800,50,4
"346770",1429660800,100,26
"346780",1428278400,90,20
"346800",1424995200,28,42
"346810",1423008000,92,180
"346830",1429747200,73,45
"346860",1422403200,100,1
"274700",1421884800,100,39
"346900",1427673600,93,10491
"346920",1422489600,30,26
"346950",1424131200,60,5
"346970",1423872000,100,13
"347010",1422403200,25,16
"347030",1422835200,42,89
"347040",1425859200,100,15
"347050",1424908800,100,4
"347070",1423785600,50,2
"347090",1426464000,63,137
"347120",1424736000,100,1
"347150",1431388800,84,38
"347154",1429660800,85,21
"347155",1429142400,76,88
"347160",1431388800,100,18
"347181",1430352000,75,8
"347190",1430870400,100,9
"347210",1430870400,100,9
"347211",1430870400,87,8
"347212",1430956800,95,23
"347213",1427068800,96,105
"347220",1429488000,100,3
"347230",1427846400,100,2
"347240",1427846400,100,1
"347250",1427846400,100,2
"347260",1427846400,33,3
"347270",1427846400,50,2
"275125",1428537600,100,1
"275200",1422489600,96,235
"347430",1425254400,95,24
"347440",1424736000,66,36
"347480",1422921600,50,6
"347560",1422921600,92,27
"347580",1423699200,14,14
"347590",1424044800,80,5
"347630",1427068800,71,39
"347670",1426032000,80,140
"347680",1424390400,100,2
"347690",1422835200,63,11
"347710",1427328000,94,36
"347790",1428019200,90,11
"275690",1415664000,88,181
"347880",1422921600,55,350
"347890",1429056000,75,76
"347900",1422921600,100,2
"347920",1423440000,100,1
"347930",1423008000,25,8
"347940",1423008000,90,54
"347980",1424736000,60,5
"347981",1429056000,75,4
"347990",1425427200,96,235
"360010",1430092800,100,3
"360030",1432512000,50,2
"360090",1428364800,66,3
"360091",1428364800,0,1
"360114",1428364800,0,1
"360115",1428364800,100,1
"360130",1428451200,80,10
"360240",1428537600,100,1
"360350",1431993600,80,5
"360380",1429747200,66,12
"360390",1427932800,100,10
"360450",1429142400,83,49
"360480",1430697600,75,280
"360520",1427846400,100,3
"360530",1428883200,100,4
"360590",1431475200,72,11
"360600",1427760000,66,9
"360720",1429315200,0,1
"360750",1429488000,75,8
"360820",1427846400,94,18
"360870",1428278400,80,638
"360890",1429488000,48,45
"360960",1428883200,96,491
"348000",1423094400,25,8
"348010",1423008000,100,1
"348020",1427414400,71,353
"348040",1425859200,99,303
"348090",1423094400,91,493
"348091",1423094400,68,278
"348180",1426118400,68,16
"348200",1428364800,88,43
"348270",1424822400,58,67
"348290",1427241600,47,48
"348330",1423526400,92,53
"348350",1432252800,51,31
"348380",1423008000,29,107
"348400",1427241600,81,11
"348430",1431043200,100,2
"348440",1431043200,100,2
"348450",1423440000,54,59
"348530",1427068800,66,9
"348560",1423267200,100,8
"348561",1424217600,92,13
"348610",1423180800,40,5
"348620",1427328000,93,459
"348650",1423180800,61,18
"348670",1426118400,71,45
"348680",1424995200,50,2
"348681",1425945600,100,3
"348682",1429574400,100,1
"348683",1429574400,100,3
"348684",1428364800,100,1
"348685",1428364800,100,1
"348686",1427155200,0,1
"348687",1430784000,100,4
"348690",1423785600,100,2
"348700",1426636800,53,71
"348730",1429833600,66,15
"348750",1424736000,100,3
"348760",1424476800,85,7
"348790",1423612800,93,16
"348860",1424390400,100,5
"348870",1423612800,80,15
"348920",1423785600,100,2
"348960",1424649600,87,8
"348970",1424908800,100,1
"348980",1424044800,50,6
"348990",1426809600,90,20
