"appid","query_date","bundles"
"343800","2015-01-26",
"343810","2015-01-26",
"343820","2015-01-26",
"343830","2015-01-26",
"343840","2015-02-04",
"343930","2015-05-21",
"343940","2015-03-13",
"343950","2015-01-21",
"343951","2015-02-03",
"343952","2015-01-28",
"343953","2015-05-12",
"343955","2015-02-11",
"343956","2015-05-13",
"343959","2015-04-14",
"343970","2015-01-17",
"271950","2015-01-09",
"271990","2015-01-23",
"259410","2014-11-10",
"259570","2015-01-30",
"344000","2015-04-20",
"344030","2015-01-24",
"344040","2015-03-18",
"344050","2015-02-05",
"344060","2015-04-29",
"344070","2015-04-28",
"344080","2015-04-29",
"344090","2015-04-28",
"344140","2015-01-22",
"344150","2015-02-11",
"344160","2015-04-02",
"344200","2015-04-22",
"344220","2015-02-12",
"344230","2015-02-10",
"272080","2014-11-05",
"272083","2014-11-05",
"272084","2014-11-05",
"344260","2015-05-26",
"272090","2014-11-05",
"344270","2015-02-10",
"344290","2015-01-29",
"344300","2015-02-06",
"344340","2015-02-02",
"272230","2014-10-30",
"344410","2015-01-19",
"344450","2015-05-07",
"344460","2015-02-06",
"344461","2015-03-17",
"344462","2015-04-14",
"344470","2015-01-16",
"344480","2015-05-09",
"344490","2015-01-20",
"344500","2015-02-19",
"344510","2015-01-21",
"344530","2015-03-26",
"344550","2015-04-17",
"344551","2015-04-17",
"344630","2015-01-29",
"272490","2014-11-17",
"344730","2015-02-03",
"344750","2015-01-26",
"344760","2015-03-02",
"344790","2015-01-30",
"344800","2015-03-13",
"344810","2015-03-13",
"344840","2015-03-04",
"344860","2015-01-29",
"344880","2015-03-02",
"344910","2015-04-03",
"344920","2015-02-10",
"344960","2015-03-17",
"345000","2015-01-29",
"345010","2015-02-10",
"345030","2015-02-10",
"345050","2015-02-28",
"345060","2015-03-03",
"345080","2015-05-14",
"345090","2015-02-03",
"345120","2015-03-17",
"345130","2015-02-27",
"345140","2015-04-02",
"345150","2015-01-20",
"345170","2015-01-28",
"345180","2015-02-05",
"345200","2015-02-05",
"345220","2015-02-03",
"345280","2015-01-26",
"345290","2015-01-28",
"345300","2015-01-28",
"345310","2015-01-28",
"345340","2015-04-28",
"345370","2015-03-19",
"345470","2015-01-28",
"345520","2015-03-06",
"345540","2015-02-19",
"345555","2015-04-22",
"345556","2015-04-22",
"345557","2015-04-22",
"345558","2015-04-22",
"345562","2015-04-22",
"345570","2015-02-06",
"345580","2015-02-06",
"345610","2015-05-14",
"345640","2015-02-16",
"345650","2015-01-23",
"345660","2015-02-07",
"345670","2015-01-23",
"345710","2015-02-12",
"345740","2015-04-02",
"345750","2015-02-09",
"345790","2015-01-26",
"345800","2015-02-03",
"345820","2015-04-22",
"345860","2015-01-23",
"345870","2015-02-18",
"345890","2015-05-22",
"345900","2015-03-29",
"273750","2014-12-18",
"345930","2015-04-02",
"273790","2015-04-16",
"345980","2015-03-10",
"273830","2014-11-04",
"273840","2014-12-18",
"273850","2014-11-17",
"273860","2014-11-25",
"346010","2015-01-28",
"346040","2015-03-26",
"346060","2015-02-24",
"346070","2015-04-22",
"346071","2015-04-22",
"346080","2015-02-02",
"346110","2015-05-11",
"346120","2015-02-20",
"346130","2015-04-29",
"346140","2015-02-27",
"346150","2015-04-06",
"346160","2015-02-03",
"346170","2015-02-21",
"346180","2015-02-12",
"346200","2015-02-05",
"346210","2015-02-02",
"346230","2015-02-20",
"346240","2015-01-26",
"346250","2015-01-26",
"346270","2015-03-05",
"346280","2015-02-27",
"346290","2015-02-02",
"346310","2015-01-26",
"346311","2015-01-26",
"346320","2015-01-27",
"346340","2015-05-09",
"346360","2015-02-20",
"346370","2015-02-03",
"346400","2015-01-26",
"274230","2015-01-22",
"346420","2015-03-11",
"346440","2015-02-05",
"274270","2015-02-19",
"346450","2015-01-26",
"346470","2015-02-26",
"346480","2015-02-06",
"346490","2015-03-12",
"346510","2015-02-12",
"274350","2015-03-13",
"346540","2015-02-12",
"346541","2015-02-12",
"346542","2015-02-13",
"346550","2015-03-02",
"346560","2015-02-11",
"346590","2015-03-19",
"346630","2015-02-04",
"346640","2015-01-29",
"346650","2015-01-27",
"346660","2015-01-27",
"346670","2015-03-10",
"346690","2015-02-03",
"346720","2015-02-11",
"346743","2015-03-31",
"274580","2014-11-24",
"346770","2015-04-22",
"346780","2015-04-06",
"346800","2015-02-27",
"346810","2015-02-04",
"346830","2015-04-23",
"346850","2015-04-17",
"346860","2015-01-28",
"346890","2015-02-04",
"274700","2015-01-22",
"346900","2015-03-30",
"346920","2015-01-29",
"346940","2015-05-21",
"346950","2015-02-17",
"346970","2015-02-14",
"346990","2015-04-28",
"347010","2015-01-28",
"347030","2015-02-02",
"347040","2015-03-09",
"347050","2015-02-26",
"347070","2015-02-13",
"347090","2015-03-16",
"347100","2015-01-29",
"347101","2015-01-29",
"347102","2015-01-29",
"347103","2015-01-29",
"347104","2015-01-29",
"347105","2015-01-29",
"347110","2015-02-11",
"347120","2015-02-24",
"347150","2015-05-12",
"347154","2015-04-22",
"347155","2015-04-16",
"347160","2015-05-12",
"347180","2015-02-09",
"347181","2015-04-30",
"347190","2015-05-06",
"347210","2015-05-06",
"347211","2015-05-06",
"347212","2015-05-07",
"347213","2015-03-23",
"347220","2015-04-20",
"347230","2015-04-01",
"347240","2015-04-01",
"347250","2015-04-01",
"347260","2015-04-01",
"347270","2015-04-01",
"347280","2015-03-21",
"347290","2015-02-28",
