"appid","query_date","grade","reviews","bundles"
"343800","2015-01-26",70,10,
"343810","2015-01-26",100,8,
"343820","2015-01-26",75,9,
"343830","2015-01-26",66,3,
"343840","2015-02-04",82,29,
"343930","2015-05-21",33,3,
"343940","2015-03-13",0,0,
"343950","2015-01-21",66,6,
"343951","2015-02-03",66,3,
"343952","2015-01-28",33,6,
"343953","2015-05-12",71,7,
"343955","2015-02-11",35,15,
"343956","2015-05-13",100,2,
"343959","2015-04-14",100,3,
"343970","2015-01-17",0,0,
"271950","2015-01-09",100,3,
"271990","2015-01-23",92,14,
"259410","2014-11-10",92,79,
"259570","2015-01-30",91,157,
"344000","2015-04-20",0,0,
"344030","2015-01-24",16,6,
"344040","2015-03-18",37,40,
"344050","2015-02-05",100,2,
"344060","2015-04-29",100,1,
"344070","2015-04-28",66,3,
"344080","2015-04-29",0,0,
"344090","2015-04-28",0,0,
"344140","2015-01-22",79,200,
"344150","2015-02-11",0,0,
"344160","2015-04-02",52,19,
"344200","2015-04-22",0,0,
"344220","2015-02-12",60,5,
"344230","2015-02-10",68,16,
"272080","2014-11-05",0,0,
"272083","2014-11-05",50,2,
"272084","2014-11-05",0,0,
"344260","2015-05-26",0,0,
"272090","2014-11-05",0,0,
"344270","2015-02-10",100,4,
"344290","2015-01-29",100,6,
"344300","2015-02-06",92,13,
"344340","2015-02-02",89,47,
"272230","2014-10-30",0,0,
"344410","2015-01-19",100,3,
"344450","2015-05-07",89,267,
"344460","2015-02-06",80,60,
"344461","2015-03-17",51,129,
"344462","2015-04-14",56,64,
"344470","2015-01-16",0,0,
"344480","2015-05-09",100,8,
"344490","2015-01-20",100,1,
"344500","2015-02-19",67,28,
"344510","2015-01-21",91,24,
"344530","2015-03-26",0,0,
"344550","2015-04-17",0,0,
"344551","2015-04-17",0,0,
"344630","2015-01-29",100,57,
"272490","2014-11-17",33,109,
"344730","2015-02-03",100,4,
"344750","2015-01-26",73,38,
"344760","2015-03-02",71,5086,
"344790","2015-01-30",85,14,
"344800","2015-03-13",76,13,
"344810","2015-03-13",85,20,
"344840","2015-03-04",60,90,
"344860","2015-01-29",94,110,
"344880","2015-03-02",76,26,
"344910","2015-04-03",80,5,
"344920","2015-02-10",36,11,
